SUBDIVISION,YEAR,ANNUAL,June-September,Just Calculations:,
Madhya Maharashtra,1901,769.1,601.4,Mode - ,
Madhya Maharashtra,1902,784,597.5,941.2,
Madhya Maharashtra,1903,837.9,665.9,738.3,
Madhya Maharashtra,1904,603.6,543,1061.8,
Madhya Maharashtra,1905,537.7,449.4,Highest Value - ,
Madhya Maharashtra,1906,744.3,677.9,1395.6,
Madhya Maharashtra,1907,815.1,742.2,1198.1,
Madhya Maharashtra,1908,722,684.6,1606.3,
Madhya Maharashtra,1909,755.2,674.4,,
Madhya Maharashtra,1910,915.2,800.9,,
Madhya Maharashtra,1911,544.5,457.7,,
Madhya Maharashtra,1912,764.9,580.6,,
Madhya Maharashtra,1913,732.5,640.1,,
Madhya Maharashtra,1914,1038.9,953,,
Madhya Maharashtra,1915,907.9,729.1,,
Madhya Maharashtra,1916,1072.5,805.8,,
Madhya Maharashtra,1917,938.2,687.1,,
Madhya Maharashtra,1918,438.2,287.6,,
Madhya Maharashtra,1919,878.9,757.9,,
Madhya Maharashtra,1920,600.3,514.5,,
Madhya Maharashtra,1921,734.3,651.1,,
Madhya Maharashtra,1922,805.1,556.4,,
Madhya Maharashtra,1923,680.9,616.7,,
Madhya Maharashtra,1924,748.3,660.5,,
Madhya Maharashtra,1925,661.7,539.6,,
Madhya Maharashtra,1926,787.2,722.2,,
Madhya Maharashtra,1927,925,772.6,,
Madhya Maharashtra,1928,831.7,729.6,,
Madhya Maharashtra,1929,690.4,549.4,,
Madhya Maharashtra,1930,929.1,765.3,,
Madhya Maharashtra,1931,1132.3,838.4,,
Madhya Maharashtra,1932,1045,803.1,,
Madhya Maharashtra,1933,1152.4,922.5,,
Madhya Maharashtra,1934,858.4,714.3,,
Madhya Maharashtra,1935,819,680.4,,
Madhya Maharashtra,1936,735.5,550.9,,
Madhya Maharashtra,1937,914.4,749.6,,
Madhya Maharashtra,1938,1126.3,887.4,,
Madhya Maharashtra,1939,821.7,739.9,,
Madhya Maharashtra,1940,893.3,727.9,,
Madhya Maharashtra,1941,774.3,681.7,,
Madhya Maharashtra,1942,941.2,863.4,,
Madhya Maharashtra,1943,993.1,714,,
Madhya Maharashtra,1944,1086,923.8,,
Madhya Maharashtra,1945,793.3,730.7,,
Madhya Maharashtra,1946,1103.6,853.1,,
Madhya Maharashtra,1947,905.6,782.6,,
Madhya Maharashtra,1948,1016.2,774,,
Madhya Maharashtra,1949,953.5,800.4,,
Madhya Maharashtra,1950,932.5,811.4,,
Madhya Maharashtra,1951,796.7,608.3,,
Madhya Maharashtra,1952,683.4,596.2,,
Madhya Maharashtra,1953,893.7,749.8,,
Madhya Maharashtra,1954,985,898.5,,
Madhya Maharashtra,1955,981.1,763.7,,
